"city","state","count"
"2520 Merrick Rd.","NY",1
"Abbeyville","LA",2
"Aberdeen","SD",20
"Aberdeen","WA",3
"Abilene","TX",25
"Adrian","MI",3
"Agana","GU",6
"Aguas Buenas","PR",6
"Akron","OH",192
"Alamagordo","NM",1
"Alameda","CA",6
"Albany","CA",3
"Albany","GA",27
"Albany","NY",185
"Albuquerque","NM",199
"Alexandra","LA",1
"Alexandria","LA",52
"Alexandria","VA",10
"Alhambra","CA",18
"Alleghanny","CA",2
"Allentown","PA",64
"Allston","MA",1
"Alton","IL",2
"Altoona","PA",22
"Amarillo","TX",96
"Ames","IA",25
"Amherst","MA",16
"Amherst","NY",27
"Anaheim","CA",16
"Anchorage","AK",138
"Andover","MA",4
"Ann Arbor","MI",75
"Annapolis","MD",49
"Anniston","AL",25
"Anoka","MN",4
"Anoke","MN",1
"Ansley Square","GA",1
"Antioch","IL",2
"Appleton","WI",50
"Aptos","CA",1
"Arcadia","CA",5
"Arcadia","LA",9
"Arlington","TX",39
"Arlington","VA",20
"Asan","GU",1
"Asbury Park","NJ",164
"Ascutney","VT",2
"Asheville","MS",2
"Asheville","NC",59
"Ashland","OR",12
"Aspen","CO",27
"Astoria","NY",2
"Athens","GA",90
"Athens","OH",25
"Atlanta","GA",708
"Atlantic City","NJ",319
"Attleboro","MA",10
"Auburn","AL",39
"Auburn","CA",10
"Auburn","WA",1
"Augusta","GA",28
"Augusta","KS",8
"Augusta","ME",28
"Aurora","IL",7
"Austin","TX",228
"Avenel","NJ",3
"Avon","MA",1
"Azusa","CA",2
"Babylon","NY",6
"Babylon, L.I","NY",1
"Bagnell","MO",2
"Bakersfield","CA",82
"Balboa","CA",6
"Baldwin Park","CA",1
"Baldwin, L.I.","NY",1
"Baltimore","MD",533
"Bangor","ME",52
"Barberton","OH",2
"Barboursville","WV",2
"Barnegat Light","NJ",6
"Barstow","CA",2
"Batesville","MS",5
"Baton Rouge","LA",121
"Battle Creek","MI",3
"Battle Creek ","MI",13
"Bay City","MI",3
"Bay City ","MI",6
"Bayshore","NY",7
"Bayville","NY",12
"Bayville, L.I.","NY",1
"Beachwood","OH",1
"Beaufort","NC",2
"Beaumont","TX",49
"Beaver Dam","WI",12
"Beckley","WV",4
"Belleville","IL",5
"Belleville","MI",6
"Belleville","NJ",1
"Bellevue","NE",15
"Bellflower","CA",4
"Bellingham","WA",46
"Bellmawr","NJ",1
"Bellmore","NY",33
"Bellmore, L.I.","NY",1
"Bellows Falls","VT",9
"Bellport","NY",1
"Belmar","NJ",10
"Belvidere","NJ",2
"Berkeley","CA",61
"Berkeley Springs","WV",2
"Berlin","NJ",4
"Berlin","VT",6
"Bernalillo","NM",1
"Berwick","PA",1
"Berwin","IL",2
"Berwyn","IL",3
"Bethany Beach","DE",16
"Bethlehem","PA",2
"Beverly Hills","CA",5
"Beverly Shores","IN",11
"Biddeford","ME",4
"Big Bear Lake","CA",5
"Big Rapids","MI",30
"Billings","MT",30
"Biloxi","MS",89
"Binghamton","NY",75
"Birmingham","AL",200
"Bisbee","AZ",9
"Bismarck","NC",1
"Bismarck","ND",11
"Bismark","ND",1
"Black River","NY",5
"Blacksburg","VA",2
"Blaine","WA",16
"Blairsville","PA",5
"Bloomingdale","NY",2
"Bloomington","IL",27
"Bloomington","IN",81
"Blue Mounds","WI",1
"Blue Point","NY",1
"Bluefield","WV",8
"Boca Raton","FL",5
"Boerum Hill","NY",2
"Bohemia","NY",7
"Boise","ID",62
"Boonville","CA",5
"Bossier City","LA",3
"Boston","MA",720
"Boulder","CO",52
"Boulder","MT",6
"Bourne","MA",1
"Bowling Green","KY",5
"Boynton Beach","FL",1
"Bozeman","MT",6
"Bradenton","FL",8
"Brattleboro","VT",1
"Brattlesboro","VT",2
"Brawley","CA",1
"Brazil","IN",1
"Brea","CA",3
"Breckenridge","CO",16
"Bremerton","WA",31
"Brentwood","NY",1
"Brewer","ME",1
"Brick Town","NJ",2
"Bridgehampton","NY",10
"Bridgeport","CT",47
"Bridgeport","PA",16
"Brinnon","WA",4
"Bristol","CT",3
"Bristol","PA",3
"Bristol","TN",6
"Bristol","VA",3
"Brockton","MA",2
"Bronx","NY",16
"Brookings","SD",15
"Brooklyn","MI",4
"Brooklyn","NY",76
"Brooklyn Heights","NY",28
"Brownsville","TX",16
"Brunswick","ME",14
"Bryte","CA",27
"Buena Park","CA",3
"Buffalo","NY",309
"Burbank","CA",43
"Burlingame","CA",7
"Burlington","IA",3
"Burlington","VT",63
"Burtonsville","MD",10
"Butler","NJ",4
"Butler","PA",3
"Butte","MT",17
"Byfield","MA",2
"Caldwell","ID",8
"Caldwell","TX",3
"Calexico","CA",3
"Caliente","CA",4
"Calumet City","IL",82
"Calvert","TX",1
"Cambridge","MA",81
"Camden","NJ",40
"Campbell","CA",7
"Campbellsville","KY",6
"Canton","OH",88
"Canyon","TX",5
"Cape Canaveral","FL",1
"Cape May","NJ",1
"Carbondale","IL",32
"Carbondale","PA",2
"Carbondle","IL",4
"Caribou","ME",2
"Carle Place","NY",1
"Carmel","CA",5
"Carmichael","CA",4
"Carson City","NV",1
"Carthegena","OH",4
"Casa Grande","AZ",1
"Casper","WY",32
"Cathedral City","CA",55
"Cedar Crest","NM",1
"Cedar Rapids","IA",69
"Center Moriches","NY",1
"Central Falls","RI",11
"Centralia","IL",1
"Chambersburg","PA",6
"Champaign","IL",75
"Chapel Hill","NC",39
"Charleston","SC",114
"Charleston","WV",53
"Charlestown","NH",1
"Charlestown","WV",48
"Charlotte","NC",243
"Charlotte Amalie, St. Thomas","VI",88
"Charlottesville","VA",5
"Chatanooga","TN",9
"Chattanooga","TN",112
"Chelsea","NY",1
"Cherokee","IA",1
"Cherry Hill","NJ",11
"Chester","OH",1
"Chester","PA",8
"Chesterton","IN",1
"Cheyenne","WY",77
"Chicago","IL",1557
"Chicago Heights","IL",1
"Chico","CA",35
"Chicopee","MA",3
"Chittenango","NY",4
"Christiansted, St. Croix","VI",21
"Chula Vista ","CA",1
"Cicero","IL",2
"Cincinnati","OH",306
"Ciudad Juarez","Mexico",7
"Ciudad Juarez","TX",3
"Clare","MI",3
"Clarksburg","WV",5
"Clarksville","TN",14
"Clear Lake","CA",34
"Clearlake","CA",1
"Clearwater","FL",47
"Cleveland","OH",492
"Cleveland Heights","OH",2
"Cliffside Park","NJ",8
"Clifton","NJ",3
"Clifton","OH",2
"Cocoa Beach","FL",43
"Coconut Grove","FL",6
"College Park","GA",1
"College Park","MD",14
"College Station","TX",9
"Coloma","MI",1
"Colorado Springs","CO",158
"Columbia","MO",49
"Columbia","SC",135
"Columbus","GA",88
"Columbus","MS",15
"Columbus","OH",269
"Compton","CA",1
"Concord","CA",2
"Concord","NH",6
"Condado","PR",76
"Coney Island","NY",1
"Congers","NY",13
"Conneaut Lake","PA",1
"Conroe","TX",9
"Cooperstown","NY",4
"Coos Bay","OR",41
"Coos Bay--North Bend","OR",2
"Coos Bay-North Bend","OR",3
"Copaigue","NY",1
"Copiague","NY",2
"Copiaque","NY",1
"Corning","NY",1
"Corpus Christi","TX",80
"Corte Madera","CA",3
"Cortland","NY",1
"Corvallis","OR",15
"Coshocton","OH",71
"Costa Mesa","CA",39
"Cottondale","FL",3
"Council Bluffs","IA",25
"Covina","CA",2
"Covington","KY",30
"Cresson","PA",9
"Crestwood","IL",9
"Cuidad Juarez, Mexico","TX",5
"Culber City","CA",1
"Culver City","CA",14
"Cumberland","MD",24
"Cupertino","CA",27
"Dalhart","TX",5
"Dallas","TX",651
