account_id,sale_id,page,year,month,day,product,cask_size,quantity,notes
1,1,261,1925,Jan,7,Extra Stout,B,1,
1,2,261,1925,Jan,7,Porter,F,8,
1,3,261,1925,Jan,14,Extra Stout,B,1,
1,4,261,1925,Jan,14,Porter,F,8,
1,5,261,1925,Jan,22,Extra Stout,B,1,
1,6,261,1925,Jan,22,Porter,F,8,
1,7,261,1925,Jan,25,Porter,F,8,
1,8,261,1925,Feb,9,Extra Stout,K,1,
1,9,261,1925,Feb,9,Extra Stout,B,1,
1,10,261,1925,Feb,9,Porter,F,8,
1,11,261,1925,Feb,11,Extra Stout,B,2,
1,12,261,1925,Feb,11,Porter,F,10,
1,13,261,1925,Feb,18,Extra Stout,K,2,
1,14,261,1925,Feb,18,Porter,F,10,
1,15,261,1925,Feb,23,Extra Stout,B,2,
1,16,261,1925,Feb,23,Porter,F,10,
1,17,261,1925,Mar,4,Extra Stout,K,2,
1,18,261,1925,Mar,4,Porter,F,8,
1,19,261,1925,Mar,11,Extra Stout,B,2,
1,20,261,1925,Mar,11,Extra Stout,K,1,
1,21,261,1925,Mar,11,Porter,F,8,
1,22,261,1925,Mar,21,Extra Stout,B,2,
1,23,261,1925,Mar,21,Porter,F,10,
1,24,261,1925,Mar,25,Extra Stout,B,2,
1,25,261,1925,Mar,25,Porter,F,8,
1,26,261,1925,Apr,2,Extra Stout,B,1,
1,27,261,1925,Apr,2,Porter,F,8,
1,28,261,1925,Apr,9,Extra Stout,B,1,
1,29,261,1925,Apr,9,Porter,F,10,
1,30,261,1925,Apr,16,Porter,F,10,
1,31,261,1925,Apr,20,Porter,F,6,
1,32,261,1925,May,7,Extra Stout,B,1,
1,33,261,1925,May,7,Porter,F,18,
1,34,261,1925,May,13,Extra Stout,K,1,
1,35,261,1925,May,13,Extra Stout,B,1,
1,36,261,1925,May,13,Porter,F,8,
1,37,261,1925,May,15,Porter,F,8,
1,38,261,1925,May,49,Porter,F,8,
1,39,261,1925,Jun,1,Extra Stout,B,1,
1,40,261,1925,Jun,1,Porter,F,8,
1,41,261,1925,Jun,13,Porter,F,8,
1,42,261,1925,Jun,20,Porter,F,8,
1,43,261,1925,Jun,27,Porter,F,8,
1,44,261,1925,Jul,4,Extra Stout,K,2,
1,45,261,1925,Jul,4,Porter,F,10,
1,46,261,1925,Jul,11,Extra Stout,B,2,
1,47,261,1925,Jul,5,Porter,F,9,
1,48,261,1925,Jul,24,Porter,F,8,
1,49,261,1925,Aug,5,Extra Stout,B,1,labels noted
1,50,261,1925,Aug,5,Porter,F,8,
1,51,261,1925,Aug,8,Porter,F,8,
1,52,261,1925,Aug,15,Extra Stout,B,3,
1,53,261,1925,Aug,15,Porter,F,8,
1,54,261,1925,Aug,22,Extra Stout,B,1,
1,55,261,1925,Aug,22,Porter,F,8,
1,56,261,1925,Sep,12,Extra Stout,B,1,labels noted
1,57,261,1925,Sep,12,Porter,F,5,
1,58,261,1925,Sep,8,Porter,F,10,
1,59,261,1925,Sep,17,Extra Stout,B,1,
1,60,261,1925,Sep,17,Porter,F,6,
1,61,261,1925,Sep,23,Porter,F,8,
1,62,261,1925,Oct,1,Extra Stout,B,1,
1,63,261,1925,Oct,1,Porter,F,6,
1,64,261,1925,Oct,8,Extra Stout,B,1,
1,65,261,1925,Oct,8,Porter,F,8,
1,66,261,1925,Oct,15,Extra Stout,B,1,
1,67,261,1925,Oct,15,Porter,F,8,
1,68,261,1925,Oct,22,Porter,F,8,
1,69,262,1925,Oct,29,Extra Stout,B,2,continuation page
1,70,262,1925,Oct,29,Porter,F,6,
1,71,262,1925,Nov,14,Extra Stout,B,15,labels noted
1,72,262,1925,Nov,14,Porter,F,8,
1,73,262,1925,Nov,17,Extra Stout,B,15,
1,74,262,1925,Nov,17,Porter,F,8,
1,75,262,1925,Nov,23,Extra Stout,B,10,
1,76,262,1925,Nov,23,Porter,F,8,
1,77,262,1925,Nov,33,Extra Stout,B,3,
1,78,262,1925,Nov,33,Porter,F,8,
1,79,262,1925,Dec,5,Extra Stout,B,15,
1,80,262,1925,Dec,5,Porter,F,8,
1,81,262,1925,Dec,12,Extra Stout,B,16,
1,82,262,1925,Dec,12,Porter,F,8,
1,83,262,1925,Dec,22,Porter,F,12,
1,84,262,1925,Dec,26,Extra Stout,B,3,
1,85,262,1925,Dec,26,Porter,F,6,
2,86,267,1925,Jan,5,Extra Stout,K,1,Transfer noted
2,87,267,1925,Jan,5,Porter,F,8,
2,88,267,1925,Jan,12,Porter,F,8,Transfer noted
2,89,267,1925,Jan,19,Extra Stout,K,1,Transfer noted
2,90,267,1925,Jan,19,Porter,F,14,
2,91,267,1925,Jan,26,Porter,F,8,
2,92,267,1925,Feb,2,Porter,F,8,
2,93,267,1925,Feb,9,Extra Stout,K,1,
2,94,267,1925,Feb,9,Porter,F,8,
2,95,267,1925,Feb,16,Porter,F,5,
2,96,267,1925,Feb,23,Porter,F,8,
2,97,267,1925,Mar,2,Extra Stout,K,1,
2,98,267,1925,Mar,2,Porter,F,5,
2,99,267,1925,Mar,9,Porter,F,6,
2,100,267,1925,Mar,16,Extra Stout,K,1,
2,101,267,1925,Mar,16,Porter,F,5,
2,102,267,1925,Mar,24,Porter,F,8,
2,103,267,1925,Mar,30,Extra Stout,K,1,
2,104,267,1925,Mar,30,Porter,F,8,
2,105,267,1925,Apr,6,Porter,F,5,
2,106,267,1925,Apr,9,Extra Stout,K,1,
2,107,267,1925,Apr,9,Porter,F,12,
2,108,267,1925,Apr,21,Porter,F,5,
2,109,267,1925,Apr,27,Extra Stout,K,1,
2,110,267,1925,Apr,27,Porter,F,4,
2,111,267,1925,May,5,Porter,F,5,
2,112,267,1925,May,11,Porter,F,5,
2,113,267,1925,May,18,Extra Stout,K,1,
2,114,267,1925,May,18,Porter,F,8,
2,115,267,1925,Jun,2,Porter,F,8,
2,116,267,1925,Jun,8,Extra Stout,K,1,
2,117,267,1925,Jun,8,Porter,F,11,
2,118,267,1925,Jun,15,Porter,F,6,
2,119,267,1925,Jun,22,Porter,F,5,
2,120,267,1925,Jun,29,Extra Stout,K,1,
2,121,267,1925,Jun,29,Porter,F,5,
2,122,267,1925,Jul,6,Porter,F,5,
2,123,267,1925,Jul,10,Extra Stout,K,2,
2,124,267,1925,Jul,10,Porter,F,8,
2,125,267,1925,Jul,18,Porter,F,8,
2,126,267,1925,Jul,27,Extra Stout,K,1,
2,127,267,1925,Jul,27,Porter,F,8,
2,128,267,1925,Aug,4,Porter,F,5,
2,129,267,1925,Aug,10,Extra Stout,K,1,
2,130,267,1925,Aug,10,Porter,F,5,
2,131,267,1925,Aug,15,Porter,F,10,
2,132,267,1925,Aug,24,Porter,F,10,
2,133,267,1925,Sep,1,Extra Stout,K,1,
2,134,267,1925,Sep,1,Porter,F,8,
2,135,267,1925,Sep,7,Porter,F,10,
2,136,267,1925,Sep,14,Extra Stout,K,1,
2,137,267,1925,Sep,14,Porter,F,8,
2,138,267,1925,Sep,21,Porter,F,8,
2,139,267,1925,Sep,28,Extra Stout,K,1,
2,140,267,1925,Sep,28,Porter,F,8,
2,141,268,1925,Oct,9,Porter,F,10,continuation page
2,142,268,1925,Oct,19,Extra Stout,B,1,
2,143,268,1925,Oct,19,Porter,F,8,
2,144,268,1925,Oct,26,Porter,F,8,
2,145,268,1925,Nov,4,Extra Stout,B,1,
2,146,268,1925,Nov,4,Porter,F,8,
2,147,268,1925,Nov,30,Porter,F,8,
2,148,268,1925,Dec,2,Extra Stout,K,9,
2,149,268,1925,Dec,2,Porter,F,8,
2,150,268,1925,Dec,11,Extra Stout,K,9,
2,151,268,1925,Dec,11,Porter,F,8,
2,152,268,1925,Dec,22,Extra Stout,K,9,
2,153,268,1925,Dec,22,Porter,F,15,
3,154,264,1925,Jan,12,Porter,F,3,Succeeds J. Kirby formerly traded at Nelson St.
3,155,264,1925,Jan,19,Porter,F,6,
3,156,264,1925,Jan,28,Porter,F,4,
3,157,264,1925,Feb,5,Porter,F,4,
3,158,264,1925,Feb,11,Porter,F,6,
3,159,264,1925,Feb,19,Porter,F,4,
3,160,264,1925,Mar,2,Porter,F,6,
3,161,264,1925,Mar,19,Porter,F,6,
3,162,264,1925,Mar,21,Porter,F,6,
3,163,264,1925,Apr,3,Porter,F,6,
3,164,264,1925,Apr,10,Porter,F,4,
3,165,264,1925,Apr,16,Porter,F,6,
3,166,264,1925,Apr,25,Porter,F,6,
3,167,264,1925,May,4,Porter,F,6,
3,168,264,1925,May,15,Porter,F,6,
3,169,264,1925,May,25,Porter,F,6,
4,170,269,1925,Jan,6,Extra Stout,K,1,Transfer noted
4,171,269,1925,Jan,6,Porter,F,10,
4,172,269,1925,Jan,13,Porter,F,8,Transfer noted
4,173,269,1925,Jan,19,Extra Stout,K,1,Transfer noted
4,174,269,1925,Jan,19,Porter,F,6,
4,175,269,1925,Jan,28,Porter,F,8,
4,176,269,1925,Feb,4,Porter,F,8,
4,177,269,1925,Feb,11,Extra Stout,K,1,
4,178,269,1925,Feb,11,Porter,F,6,
4,179,269,1925,Feb,18,Porter,F,6,
4,180,269,1925,Feb,25,Porter,F,8,
4,181,269,1925,Mar,14,Porter,F,8,
4,182,269,1925,Mar,10,Extra Stout,K,1,
4,183,269,1925,Mar,10,Porter,F,8,
4,184,269,1925,Mar,18,Porter,F,6,
4,185,269,1925,Mar,21,Porter,F,8,
4,186,269,1925,Mar,31,Extra Stout,K,1,
4,187,269,1925,Mar,31,Porter,F,8,
4,188,269,1925,Apr,7,Porter,F,8,
4,189,269,1925,Apr,9,Porter,F,6,
4,190,269,1925,Apr,16,Extra Stout,K,1,
4,191,269,1925,Apr,16,Porter,F,6,
4,192,269,1925,Apr,21,Porter,F,8,
4,193,269,1925,Apr,27,Porter,F,8,
4,194,269,1925,May,5,Porter,F,8,
4,195,269,1925,May,11,Extra Stout,K,1,
4,196,269,1925,May,11,Porter,F,8,
4,197,269,1925,May,18,Porter,F,10,
4,198,269,1925,May,26,Extra Stout,K,1,
4,199,269,1925,May,26,Porter,F,8,
4,200,269,1925,May,30,Porter,F,10,
4,201,269,1925,Jun,10,Porter,F,8,
4,202,269,1925,Jun,15,Porter,F,8,
4,203,269,1925,Jun,20,Extra Stout,K,2,
4,204,269,1925,Jun,20,Porter,F,10,
4,205,269,1925,Jun,29,Porter,F,10,
4,206,269,1925,Jul,4,Porter,F,8,
4,207,269,1925,Jul,10,Extra Stout,K,2,
4,208,269,1925,Jul,10,Porter,F,12,
4,209,269,1925,Jul,20,Porter,F,8,
4,210,269,1925,Jul,25,Porter,F,8,
4,211,269,1925,Aug,1,Porter,F,10,
4,212,269,1925,Aug,8,Porter,F,8,
4,213,269,1925,Aug,15,Porter,F,8,
4,214,269,1925,Aug,22,Porter,F,10,
4,215,269,1925,Aug,29,Porter,F,5,
4,216,269,1925,Sep,2,Porter,F,5,
4,217,269,1925,Sep,9,Porter,F,5,
4,218,269,1925,Sep,15,Porter,F,6,
4,219,269,1925,Sep,21,Porter,F,7,
4,220,269,1925,Sep,30,Porter,F,7,
4,221,269,1925,Oct,6,Porter,F,7,
4,222,269,1925,Oct,14,Porter,F,7,
4,223,269,1925,Oct,23,Porter,F,8,
4,224,269,1925,Oct,31,Porter,F,5,
4,225,270,1925,Oct,6,Porter,F,8,continuation page
4,226,270,1925,Oct,13,Extra Stout,B,6,
