YEAR,STATE,STATEFP,COUNTYFP,NAME,PERSONS_OF_LATINO_ORIGIN
1970,Alabama,01,001,Autauga,835
1970,Alabama,01,003,Baldwin,1284
1970,Alabama,01,005,Barbour,0
1970,Alabama,01,007,Bibb,0
1970,Alabama,01,009,Blount,0
1970,Alabama,01,011,Bullock,0
1970,Alabama,01,013,Butler,19
1970,Alabama,01,015,Calhoun,419
1970,Alabama,01,017,Chambers,1242
1970,Alabama,01,019,Cherokee,0
1970,Alabama,01,021,Chilton,0
1970,Alabama,01,023,Choctaw,214
1970,Alabama,01,025,Clarke,47
1970,Alabama,01,027,Clay,80
1970,Alabama,01,029,Cleburne,37
1970,Alabama,01,031,Coffee,71
1970,Alabama,01,033,Colbert,21
1970,Alabama,01,035,Conecuh,33
1970,Alabama,01,037,Coosa,0
1970,Alabama,01,039,Covington,482
1970,Alabama,01,041,Crenshaw,46
1970,Alabama,01,043,Cullman,1249
1970,Alabama,01,045,Dale,709
1970,Alabama,01,047,Dallas,348
1970,Alabama,01,049,De Kalb,2897
1970,Alabama,01,051,Elmore,773
1970,Alabama,01,053,Escambia,62
1970,Alabama,01,055,Etowah,58
1970,Alabama,01,057,Fayette,0
1970,Alabama,01,059,Franklin,0
1970,Alabama,01,061,Geneva,63
1970,Alabama,01,063,Greene,16
1970,Alabama,01,065,Hale,16
1970,Alabama,01,067,Henry,0
1970,Alabama,01,069,Houston,62
1970,Alabama,01,071,Jackson,79
1970,Alabama,01,073,Jefferson,11482
1970,Alabama,01,075,Lamar,87
1970,Alabama,01,077,Lauderdale,1194
1970,Alabama,01,079,Lawrence,905
1970,Alabama,01,081,Lee,116
1970,Alabama,01,083,Limestone,0
1970,Alabama,01,085,Lowndes,0
1970,Alabama,01,087,Macon,92
1970,Alabama,01,089,Madison,528
1970,Alabama,01,091,Marengo,0
1970,Alabama,01,093,Marion,187
1970,Alabama,01,095,Marshall,61
1970,Alabama,01,097,Mobile,6347
1970,Alabama,01,099,Monroe,253
1970,Alabama,01,101,Montgomery,2548
1970,Alabama,01,103,Morgan,308
1970,Alabama,01,105,Perry,0
1970,Alabama,01,107,Pickens,0
1970,Alabama,01,109,Pike,0
1970,Alabama,01,111,Randolph,224
1970,Alabama,01,113,Russell,60
1970,Alabama,01,117,Shelby,606
1970,Alabama,01,115,St Clair,0
1970,Alabama,01,119,Sumter,443
1970,Alabama,01,121,Talladega,286
1970,Alabama,01,123,Tallapoosa,865
1970,Alabama,01,125,Tuscaloosa,580
1970,Alabama,01,127,Walker,54
1970,Alabama,01,129,Washington,37
1970,Alabama,01,131,Wilcox,0
1970,Alabama,01,133,Winston,423
1970,Alaska,02,010,Aleutian Islands,200
1970,Alaska,02,020,Anchorage,2646
1970,Alaska,02,030,Angoon,0
1970,Alaska,02,040,Barrow,0
1970,Alaska,02,050,Bethel,0
1970,Alaska,02,060,Bristol Bay Borough,0
1970,Alaska,02,062,Bristol Bay Division,0
1970,Alaska,02,080,Cordova-Mc Carthy,0
1970,Alaska,02,090,Fairbanks,866
1970,Alaska,02,100,Haines,0
1970,Alaska,02,110,Juneau,146
1970,Alaska,02,120,Kenai-Cook Inlet,273
1970,Alaska,02,130,Ketchikan,50
1970,Alaska,02,140,Kobuk,0
1970,Alaska,02,150,Kodiak,96
1970,Alaska,02,160,Kuskokwim,0
1970,Alaska,02,170,Matanuska-Susitna,0
1970,Alaska,02,180,Nome,0
1970,Alaska,02,190,Outer Ketchikan,86
1970,Alaska,02,200,Prince Of Wales,0
1970,Alaska,02,210,Seward,64
1970,Alaska,02,220,Sitka,0
1970,Alaska,02,230,Skagway-Yakutat,0
1970,Alaska,02,240,Southeast Fairbanks,52
1970,Alaska,02,250,Upper Yukon,0
1970,Alaska,02,260,Valdez-Chitina-Whittier,0
1970,Alaska,02,270,Wade Hampton,19
1970,Alaska,02,280,Wrangell-Petersburg,0
1970,Alaska,02,290,Yukon-Koyukuk,100
1970,Arizona,04,001,Apache,1101
1970,Arizona,04,003,Cochise,18244
1970,Arizona,04,005,Coconino,5396
1970,Arizona,04,007,Gila,6074
1970,Arizona,04,009,Graham,4449
1970,Arizona,04,011,Greenlee,4892
1970,Arizona,04,013,Maricopa,112225
1970,Arizona,04,015,Mohave,848
1970,Arizona,04,017,Navajo,2853
1970,Arizona,04,019,Pima,64136
1970,Arizona,04,021,Pinal,18329
1970,Arizona,04,023,Santa Cruz,10208
1970,Arizona,04,025,Yavapai,2110
1970,Arizona,04,027,Yuma,13905
1970,Arkansas,05,001,Arkansas,158
1970,Arkansas,05,003,Ashley,0
1970,Arkansas,05,005,Baxter,24
1970,Arkansas,05,007,Benton,149
1970,Arkansas,05,009,Boone,200
1970,Arkansas,05,011,Bradley,94
1970,Arkansas,05,013,Calhoun,155
1970,Arkansas,05,015,Carroll,133
