STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH
01,010,Autauga County,001,0010
01,010,Baldwin County,003,0030
01,010,Barbour County,005,0050
01,010,Bibb County,007,0070
01,010,Blount County,009,0090
01,010,Bullock County,011,0110
01,010,Butler County,013,0130
01,010,Calhoun County,015,0150
01,010,Chambers County,017,0170
01,010,Cherokee County,019,0190
01,010,Chilton County,021,0210
01,010,Choctaw County,023,0230
01,010,Clarke County,025,0250
01,010,Clay County,027,0270
01,010,Cleburne County,029,0290
01,010,Coffee County,031,0310
01,010,Colbert County,033,0330
01,010,Conecuh County,035,0350
01,010,Coosa County,037,0370
01,010,Covington County,039,0390
01,010,Crenshaw County,041,0410
01,010,Cullman County,043,0430
01,010,Dale County,045,0450
01,010,Dallas County,047,0470
01,010,DeKalb County,049,0490
01,010,Elmore County,051,0510
01,010,Escambia County,053,0530
01,010,Etowah County,055,0550
01,010,Fayette County,057,0570
01,010,Franklin County,059,0590
01,010,Geneva County,061,0610
01,010,Greene County,063,0630
01,010,Hale County,065,0650
01,010,Henry County,067,0670
01,010,Houston County,069,0690
01,010,Jackson County,071,0710
01,010,Jefferson County,073,0730
01,010,Lamar County,075,0750
01,010,Lauderdale County,077,0770
01,010,Lawrence County,079,0790
01,010,Lee County,081,0810
01,010,Limestone County,083,0830
01,010,Lowndes County,085,0850
01,010,Macon County,087,0870
01,010,Madison County,089,0890
01,010,Marengo County,091,0910
01,010,Marion County,093,0930
01,010,Marshall County,095,0950
01,010,Mobile County,097,0970
01,010,Monroe County,099,0990
01,010,Montgomery County,101,1010
01,010,Morgan County,103,1030
01,010,Perry County,105,1050
01,010,Pickens County,107,1070
01,010,Pike County,109,1090
01,010,Randolph County,111,1110
01,010,Russell County,113,1130
01,010,Shelby County,117,1170
01,010,St. Clair County,115,1150
01,010,Sumter County,119,1190
01,010,Talladega County,121,1210
01,010,Tallapoosa County,123,1230
01,010,Tuscaloosa County,125,1250
01,010,Walker County,127,1270
01,010,Washington County,129,1290
01,010,Wilcox County,131,1310
01,010,Winston County,133,1330
02,020,Aleutian Islands,010,0100
02,020,Anchorage Municipality,020,0200
02,020,Angoon,030,0300
02,020,Barrow,040,0400
02,020,Bethel Census Area,050,0500
02,020,Bristol Bay Borough,060,0600
02,020,Bristol Bay Division,062,0620
02,020,Cordova-McCarthy,080,0800
02,020,Fairbanks North Star Borough,090,0900
02,020,Haines Borough,100,1000
02,020,Juneau City and Borough,110,1100
02,020,Kenai-Cook Inlet,120,1200
02,020,Ketchikan Gateway Borough,130,1300
02,020,Kobuk,140,1400
02,020,Kodiak Island Borough,150,1500
02,020,Kuskokwim,160,1600
02,020,Matanuska-Susitna Borough,170,1700
02,020,Nome Census Area,180,1800
02,020,Outer Ketchikan,190,1900
02,020,Prince Of Wales,200,2000
02,020,Seward,210,2100
02,020,Sitka City and Borough,220,2200
02,020,Skagway Municipality,230,2300
02,020,Southeast Fairbanks Census Area,240,2400
02,020,Upper Yukon,250,2500
02,020,Valdez-Chitina-Whittier,260,2600
02,020,Wade Hampton Census Area,270,2700
02,020,Wrangell-Petersburg,280,2800
02,020,Yukon-Koyukuk Census Area,290,2900
04,040,Apache County,001,0010
04,040,Cochise County,003,0030
04,040,Coconino County,005,0050
04,040,Gila County,007,0070
04,040,Graham County,009,0090
04,040,Greenlee County,011,0110
04,040,Maricopa County,013,0130
04,040,Mohave County,015,0150
04,040,Navajo County,017,0170
04,040,Pima County,019,0190
04,040,Pinal County,021,0210
04,040,Santa Cruz County,023,0230
04,040,Yavapai County,025,0250
04,040,Yuma County,027,0270
05,050,Arkansas County,001,0010
05,050,Ashley County,003,0030
05,050,Baxter County,005,0050
05,050,Benton County,007,0070
05,050,Boone County,009,0090
05,050,Bradley County,011,0110
05,050,Calhoun County,013,0130
05,050,Carroll County,015,0150
05,050,Chicot County,017,0170
05,050,Clark County,019,0190
05,050,Clay County,021,0210
05,050,Cleburne County,023,0230
05,050,Cleveland County,025,0250
05,050,Columbia County,027,0270
05,050,Conway County,029,0290
05,050,Craighead County,031,0310
05,050,Crawford County,033,0330
05,050,Crittenden County,035,0350
05,050,Cross County,037,0370
05,050,Dallas County,039,0390
05,050,Desha County,041,0410
05,050,Drew County,043,0430
05,050,Faulkner County,045,0450
