region_number,firm_name,women_employed
440,New York Tel Co,20478
041,NY Tel Centr Div,2682
601,N Y Tel E Div,2834
041,Central N Y Power,355
U.S. Civil Serv. NYC,War Dept N Y Ord,1311
041,U S Engineers,182
001,John J Chaloux & Co,72
001,Consolidated Car,76
001,Ramsay Chain,22
001,Mc Donald Works,123
001,Simmons Mach,14
001,Magnus Metal,26
001,Albany Castings Co,21
001,General Aniline,175
001,Dorns Trans,11
001,J Vogel,9
001,United Traction,43
001,Vorhsville Bldg & Reco Depot,210
001,Albany Felt,418
001,Tobin Packing,181
001,F Jacobson,213
001,F C Huyck,400
001,N Y Pow Light,204
001,Albany Engineering,205
001,N Y Tel,839
001,Fort Orange Paper,120
001,Embossing Co,58
001,Bayer,880
001,N Y Cent System,21
001,B T Babbitt Co,134
001,A P W Paper Co,155
001,N Y Central R R Co,78
001,NYCRR Pass Car Dept,31
001,N Y Centr R R Co,28
001,N Y Centr R R,20
001,D H R R Co,284
001,N Y Centr R R Co,14
001,Rway Express Agency,6
001,NYC RR Maint of Way,15
003,Sandy Hill Iron,47
003,Champlain Spinners,305
003,Imperial Paper,180
003,Clark,282
003,G E Co,456
003,Natl Lead,7
003,F Pruyn,26
003,S Thompson Paper,90
003,Union Bag Paper,453
003,Rotary Shirt,222
003,McMullen Leavens,459
003,Finch Pruyn & Co,
003,D H RR Corp,3
005,G E Schen,8653
005,Amer Locomotive Co,816
005,Schen R R Co,19
005,Internatl Paper,137
005,Wilson Athletic Gds,102
005,Mica Insulator,210
005,Naval Supply Depot,687
005,Army Ser Forces Dpt,1084
005,Ballston Knit,230
005,Van Raalte,403
005,Gloversville Knit,114
005,Harder Refrig Corp,5
005,General Electric Gen,2289
005,Inspector Naval Mat,217
007,Alleg Ludlum,104
007,Gurley W & Le,14
007,Ludlow Valve,24
007,Adir Fdry Steel,83
007,Rep Steel,5
007,Renss Valve,18
007,Ford Motor,31
007,Colasta,115
007,Specialty Insulating,14
007,Noble & Wood,96
007,Watervliet Arsenal,3015
007,Behr Manning Corp,1480
007,Huds Mtr Fr Ser,7
007,Beaurit Mills,194
007,Mohawk Paper,38
007,West Va Pulp,96
007,Cluett Peabody,2406
007,Fitz Bros Brew,14
007,Royal U Garment,194
007,Buchman Comfort,255
007,Ford Mfg,205
007,Huds Fuel,15
007,Hughes Autogph Br,604
007,J A Manning Paper,42
007,Fuld & Hatch Knittin,244
007,F Jacobson,348
007,M Nirenburg Sons Inc,254
007,Wrights U Wear,147
007,Berk Ray,409
007,D&H RR Colonie,30
007,D&H RR Mechanicville,7
007,B&M RR Trans,21
007,B&M RR Track,
007,B&M RR Engine House,28
007,B&M RR Freight Dept,1
007,D&H RR Green Isl,7
007,Natl Auto Fibre Inc,115
010,Amer Valve,22
010,Catskill Metal Wks,12
010,V & O Press,12
010,Gifford Wood,26
010,McCall Refgr,7
010,J A Carman,1
010,D Julliard,153
010,Universal Match,109
010,Universal Atlas Cmt,7
010,No Amer Cement,3
010,Lone Star Cement,1
010,Mohawk Novelty Co,204
010,Athens Mfg,177
010,Imp Life Boat & Dava,75
012,Electrol Inc,98
012,C Hilterbrant D D,2
012,Hercules Pow,675
012,Ulster Knife Co,77
012,Island Dock,4
012,Adir Tran Lines,29
012,Cantine Martin,64
012,F Jacobson,226
012,J S Fuller,205
012,Radio Corp of Amer,287
013,Standard Gage,131
013,Sedgewick Mach,36
013,Fed Bearing,342
013,Schatz,83
013,Frederick Hart Co,103
013,De Laval Separator,419
013,Trussell Mfg,27
013,I B M 4,357
013,Cent Huds Gas Elec,192
013,Dutchess Bleachry,124
013,Dutchess Royal,244
013,Consol Cigar,168
013,Ind U Garment,182
013,Seltzer Seltzer,309
013,U S Hoffman Mach Co,228
013,Glenwood Clothes Inc,169
013,Johnson Rubber Co,
014,Monticello Lumber,
014,H Leon & F Mc Bride,3
014,Gillinder Bras Inc,6
014,Vancanson Silk Mills,55
014,N Y Rubber Co,95
014,Columbia Mills (cont.),203
017,N Y Rubber,304
017,Coldwell Lawn Mower,16
017,Dutchess Tool,18
017,Green Fuel Econ,12
017,Amer Felt,19
017,Newburg Tran,4
017,Dupont De Nemours,71
017,Firth Carpet Co,207
017,Harmony Bag,153
017,Natl Biscuit,121
017,Lewittes,10
017,S Stroock,155
017,Sweet Orr,225
017,Aero Leather Coat,158
017,Eureka Shipbldg,70
017,P L S Mfg,208
017,Perry Sportswear,189
017,Texas Resch Lab,174
017,U S Army Air,158
017,U S Military Academy,380
020,Utica Drop Forge,90
020,Amer Emblem,123
020,Bossert Co,89
020,Utica Cutlery,279
020,Savage Arms,302
020,Utica St Eng Boiler,4
020,Powell Muffler Co,11
020,Utica Gen Job Fdry,4
020,Utica Rad,49
020,Brunner,13
020,Utica Struc Steel,4
020,Internatl Heater,11
020,Oriskany Mal Steel,2
020,Dunlop Tire,318
020,Hart & Crouse,6
020,Foster Bros,108
020,N Y Mills Julliard,513
020,C A Durr,63
020,Oneita Knitting Co,793
020,Skenandoa Rayon,182
020,Utica Knit 1,247
020,Utica Knit 2,250
020,Utica Knit 6,165
020,Utica Cotton Mills,511
020,Utica Willowvale Bec,213
020,Harrocks Ibbetson,470
020,Augusta Knit,152
020,N Y State Rways,31
020,Ft Schuyler Knit,118
020,Gould Paper,5
020,Sitroux,119
020,Waterville Textile,132
020,Kerk Guild,157
020,N Y Tel Co,292
020,Oneida Bleachery,86
020,N Y Central R R Co,236
020,Rhoads General Hosp,535
020,Railway Express,1
020,Globe Worsted Co,324
020,Utica Tube Works GE,177
020,West End Brewing Co,109
021,St Joseph Lead Co,4
021,Universal Explor,
021,Jones & Laughlin Ore,
021,Clifton Ore Mines,
021,Standard Shade,
021,W H Loomis Tale Co,87
021,Cleveland Container,531
021,Newton Falls Paper,34
021,International Talc,11
022,Alum Co Amer,484
022,Consol Slipper,397
022,St Regis Paper,17
022,Racquette Riv Ppr,31
022,Elliot Hardwood Co,3
022,M P Hawley,
026,Sheridan Iron Works,5
026,Pal Blade,385
026,Rep Steel,3
026,Berst Fors Dixfield,253
026,Imperial Paper,24
026,J & J Rogers Co,33
026,International Paper,93
026,Republic Steel,3
026,Oval Wood Dish,173
026,Coop G L F Forest,63
026,A Mason & Sons Inc,10
026,D H RR Co,10
030,Westmoreland Mal Ir,2
030,Camden Wire,96
030,Genl Cable,1923
030,Revere Cop Rome Mfg,368
030,Revere Copper,421
030,Nolan Mach Corp,55
030,Rome Strip Steel,2
030,Rome Cable,753
030,Union Fork,298
030,Rome Air Depot,3328
030,Ed Comstack Lumber,3
031,Wescott Chuck,
031,Line Material Sales,12
